Dataset,Model,AUC_mean,AUPRC_mean,Accuracy_mean,F1_mean,GMean_mean,IBA_mean,Kappa_mean,MCC_mean,Precision_mean,Recall_mean,Runtime_mean
abalone-17_vs_7-8-9-10,DBCF,5.0,6.0,14.0,2.0,13.0,11.0,2.0,2.0,12.0,12.0,25.0
abalone-17_vs_7-8-9-10,DEAHS,6.0,9.0,26.0,26.0,2.0,1.0,26.0,18.0,26.0,2.0,28.0
abalone-17_vs_7-8-9-10,DeepSMOTE,18.0,16.0,4.0,24.0,29.0,27.0,25.0,27.0,11.0,29.0,19.0
abalone-17_vs_7-8-9-10,SPE,4.0,10.0,25.0,25.0,1.0,2.0,23.0,16.0,25.0,1.0,21.0
abalone-17_vs_7-8-9-10,adaboost_ad,23.0,29.0,27.0,27.0,3.0,3.0,27.0,23.0,27.0,3.0,12.0
abalone-17_vs_7-8-9-10,amcs,27.0,25.0,17.0,20.0,22.0,14.0,20.0,25.0,21.0,17.0,26.0
abalone-17_vs_7-8-9-10,des_mi,7.0,24.0,19.0,6.0,7.0,4.0,5.0,4.0,17.0,6.0,6.0
abalone-17_vs_7-8-9-10,dpse,26.0,23.0,13.0,3.0,14.0,12.0,3.0,7.0,8.0,14.0,1.0
abalone-17_vs_7-8-9-10,drcw_aseg,24.0,4.0,1.5,1.0,19.0,15.0,1.0,1.0,1.0,20.0,8.0
abalone-17_vs_7-8-9-10,e_evrs,28.0,28.0,23.0,21.0,12.0,22.0,22.0,24.0,23.0,11.0,16.0
abalone-17_vs_7-8-9-10,easy_bpnn,16.0,2.0,28.0,28.0,4.0,10.0,28.0,26.0,28.0,4.0,13.0
abalone-17_vs_7-8-9-10,evinci,20.0,5.0,3.0,9.0,23.0,19.0,10.0,5.0,2.0,24.0,22.0
abalone-17_vs_7-8-9-10,glos,14.0,22.0,16.0,19.0,16.0,24.0,19.0,22.0,19.0,18.0,3.0
abalone-17_vs_7-8-9-10,mc_ccr,15.0,3.0,5.0,14.0,25.0,21.0,14.0,14.0,4.0,25.0,4.0
abalone-17_vs_7-8-9-10,mc_evhs,22.0,26.0,22.0,17.0,6.0,9.0,15.0,12.0,22.0,7.0,11.0
abalone-17_vs_7-8-9-10,mc_nro,19.0,19.0,12.0,15.0,20.0,26.0,16.0,21.0,13.0,22.0,29.0
abalone-17_vs_7-8-9-10,mc_rbo,21.0,15.0,7.0,23.0,28.0,28.0,24.0,28.0,14.0,28.0,27.0
abalone-17_vs_7-8-9-10,mdo,10.0,12.0,10.0,16.0,24.0,25.0,17.0,20.0,10.0,26.0,9.0
abalone-17_vs_7-8-9-10,multirandbal,12.0,14.0,18.0,7.0,10.0,8.0,6.0,6.0,16.0,10.0,10.0
abalone-17_vs_7-8-9-10,nromm,17.0,18.0,8.0,18.0,26.0,23.0,18.0,19.0,9.0,27.0,15.0
abalone-17_vs_7-8-9-10,ocsv_us,29.0,27.0,29.0,29.0,11.0,29.0,29.0,29.0,29.0,13.0,17.0
abalone-17_vs_7-8-9-10,orem_m,11.0,13.0,11.0,8.0,17.0,18.0,8.0,11.0,7.0,19.0,7.0
abalone-17_vs_7-8-9-10,oremboost,2.0,1.0,9.0,5.0,18.0,13.0,7.0,9.0,6.0,16.0,20.0
abalone-17_vs_7-8-9-10,pt_bagging,25.0,7.0,1.5,4.0,27.0,16.0,4.0,3.0,3.0,23.0,5.0
abalone-17_vs_7-8-9-10,s_smote,9.0,21.0,24.0,22.0,5.0,6.0,21.0,17.0,24.0,5.0,18.0
abalone-17_vs_7-8-9-10,scut,13.0,20.0,20.0,12.0,9.0,5.0,12.0,10.0,20.0,9.0,24.0
abalone-17_vs_7-8-9-10,shsampler,3.0,11.0,21.0,10.0,8.0,7.0,9.0,8.0,18.0,8.0,2.0
abalone-17_vs_7-8-9-10,smom,8.0,17.0,15.0,13.0,15.0,17.0,13.0,15.0,15.0,15.0,14.0
abalone-17_vs_7-8-9-10,soup,1.0,8.0,6.0,11.0,21.0,20.0,11.0,13.0,5.0,21.0,23.0
abalone-19_vs_10-11-12-13,DBCF,2.0,9.0,15.0,13.0,18.0,16.0,18.0,19.0,13.0,20.0,26.0
abalone-19_vs_10-11-12-13,DEAHS,5.0,12.0,25.0,25.0,2.0,26.0,11.0,6.0,14.0,3.0,27.0
abalone-19_vs_10-11-12-13,DeepSMOTE,24.0,26.0,2.0,17.0,23.0,2.0,23.0,23.0,23.0,23.0,16.0
abalone-19_vs_10-11-12-13,SPE,7.0,10.0,28.0,27.0,3.0,24.0,13.0,4.0,15.0,2.0,23.0
abalone-19_vs_10-11-12-13,adaboost_ad,29.0,29.0,27.0,28.0,7.0,29.0,21.0,20.0,21.0,13.0,12.0
abalone-19_vs_10-11-12-13,amcs,14.0,11.0,20.0,6.0,10.0,21.0,6.0,10.0,10.0,9.0,25.0
abalone-19_vs_10-11-12-13,des_mi,27.0,28.0,17.0,14.0,19.0,20.0,19.0,21.0,17.0,21.0,8.0
abalone-19_vs_10-11-12-13,dpse,22.0,16.0,16.0,7.0,15.0,17.0,9.0,15.0,8.0,16.0,3.0
abalone-19_vs_10-11-12-13,drcw_aseg,25.0,21.0,4.0,19.0,25.0,4.0,25.0,25.0,25.0,25.0,6.0
abalone-19_vs_10-11-12-13,e_evrs,23.0,25.0,19.0,1.0,8.0,19.0,1.0,2.0,1.0,6.0,17.0
abalone-19_vs_10-11-12-13,easy_bpnn,1.0,3.0,24.0,24.0,1.0,10.0,7.0,1.0,7.0,1.0,13.0
abalone-19_vs_10-11-12-13,evinci,6.0,18.0,1.0,16.0,22.0,1.0,22.0,22.0,22.0,22.0,21.0
abalone-19_vs_10-11-12-13,glos,28.0,27.0,14.0,23.0,29.0,15.0,29.0,29.0,29.0,29.0,2.0
abalone-19_vs_10-11-12-13,mc_ccr,18.0,22.0,7.0,11.0,21.0,6.0,14.0,17.0,11.0,17.0,5.0
abalone-19_vs_10-11-12-13,mc_evhs,17.0,13.0,22.0,4.0,6.0,22.0,3.0,3.0,5.0,4.0,10.0
abalone-19_vs_10-11-12-13,mc_nro,13.0,24.0,11.0,22.0,28.0,14.0,28.0,28.0,28.0,28.0,29.0
abalone-19_vs_10-11-12-13,mc_rbo,21.0,14.0,5.0,20.0,26.0,5.0,26.0,26.0,26.0,26.0,28.0
abalone-19_vs_10-11-12-13,mdo,4.0,20.0,12.0,10.0,16.0,13.0,12.0,16.0,19.0,15.0,9.0
abalone-19_vs_10-11-12-13,multirandbal,15.0,6.0,21.0,8.0,11.0,23.0,8.0,11.0,9.0,11.0,11.0
abalone-19_vs_10-11-12-13,nromm,3.0,5.0,10.0,12.0,17.0,12.0,17.0,18.0,12.0,19.0,15.0
abalone-19_vs_10-11-12-13,ocsv_us,19.0,17.0,29.0,29.0,4.0,28.0,20.0,12.0,20.0,7.0,20.0
abalone-19_vs_10-11-12-13,orem_m,11.0,8.0,8.0,9.0,20.0,8.0,10.0,13.0,4.0,18.0,7.0
abalone-19_vs_10-11-12-13,oremboost,8.0,4.0,9.0,5.0,14.0,9.0,5.0,8.0,2.0,14.0,19.0
abalone-19_vs_10-11-12-13,pt_bagging,26.0,23.0,3.0,18.0,24.0,3.0,24.0,24.0,24.0,24.0,1.0
abalone-19_vs_10-11-12-13,s_smote,20.0,2.0,26.0,26.0,5.0,27.0,16.0,9.0,16.0,5.0,18.0
abalone-19_vs_10-11-12-13,scut,9.0,19.0,23.0,15.0,12.0,25.0,15.0,14.0,18.0,12.0,24.0
abalone-19_vs_10-11-12-13,shsampler,12.0,7.0,18.0,3.0,9.0,18.0,4.0,7.0,6.0,8.0,4.0
abalone-19_vs_10-11-12-13,smom,16.0,1.0,13.0,2.0,13.0,11.0,2.0,5.0,3.0,10.0,14.0
abalone-19_vs_10-11-12-13,soup,10.0,15.0,6.0,21.0,27.0,7.0,27.0,27.0,27.0,27.0,22.0
abalone-20_vs_8-9-10,DBCF,3.0,1.0,1.0,1.0,11.0,8.0,1.0,1.0,4.0,10.0,25.0
abalone-20_vs_8-9-10,DEAHS,12.0,22.0,25.0,25.0,2.0,5.0,26.0,18.0,26.0,3.0,29.0
abalone-20_vs_8-9-10,DeepSMOTE,15.0,23.0,8.0,24.0,29.0,28.0,24.0,28.0,23.0,29.0,19.0
abalone-20_vs_8-9-10,SPE,14.0,26.0,27.0,27.0,5.0,7.0,27.0,22.0,27.0,6.0,21.0
abalone-20_vs_8-9-10,adaboost_ad,20.0,28.0,28.0,28.0,7.0,10.0,28.0,24.0,28.0,7.0,12.0
abalone-20_vs_8-9-10,amcs,25.0,24.0,16.0,23.0,27.0,17.0,23.0,27.0,24.0,25.0,26.0
abalone-20_vs_8-9-10,des_mi,24.0,21.0,17.0,7.0,12.0,6.0,7.0,9.0,10.0,9.0,8.0
abalone-20_vs_8-9-10,dpse,29.0,25.0,15.0,10.0,19.0,18.0,10.0,11.0,8.0,19.0,5.0
abalone-20_vs_8-9-10,drcw_aseg,27.0,15.0,9.0,17.0,23.0,23.0,17.0,20.0,14.0,22.0,6.0
abalone-20_vs_8-9-10,e_evrs,23.0,27.0,21.0,18.0,10.0,14.0,18.0,16.0,22.0,11.0,16.0
abalone-20_vs_8-9-10,easy_bpnn,4.0,2.0,26.0,26.0,1.0,2.0,25.0,17.0,25.0,2.0,13.0
abalone-20_vs_8-9-10,evinci,21.0,10.0,5.0,19.0,24.0,20.0,19.0,21.0,13.0,24.0,20.0
abalone-20_vs_8-9-10,glos,10.0,20.0,18.0,12.0,18.0,16.0,13.0,15.0,16.0,17.0,2.0
abalone-20_vs_8-9-10,mc_ccr,18.0,13.0,2.5,11.0,20.0,21.0,11.0,12.0,7.0,20.0,4.0
abalone-20_vs_8-9-10,mc_evhs,2.0,17.0,23.0,9.0,4.0,3.0,9.0,5.0,17.0,4.0,11.0
abalone-20_vs_8-9-10,mc_nro,11.0,6.0,10.5,4.0,16.0,11.0,4.0,6.0,5.0,15.5,28.0
abalone-20_vs_8-9-10,mc_rbo,22.0,8.0,2.5,13.0,21.0,24.0,14.0,13.0,6.0,23.0,27.0
abalone-20_vs_8-9-10,mdo,17.0,9.0,6.0,22.0,28.0,27.0,22.0,23.0,9.0,28.0,10.0
abalone-20_vs_8-9-10,multirandbal,5.0,18.0,20.0,14.0,13.0,15.0,15.0,14.0,19.0,12.0,9.0
abalone-20_vs_8-9-10,nromm,16.0,7.0,13.0,8.0,17.0,19.0,8.0,8.0,2.0,18.0,14.0
abalone-20_vs_8-9-10,ocsv_us,28.0,29.0,29.0,29.0,9.0,29.0,29.0,29.0,29.0,13.0,18.0
abalone-20_vs_8-9-10,orem_m,19.0,5.0,10.5,3.0,15.0,12.0,3.0,4.0,1.0,15.5,7.0
abalone-20_vs_8-9-10,oremboost,9.0,14.0,14.0,20.0,25.0,26.0,20.0,26.0,20.0,27.0,23.0
abalone-20_vs_8-9-10,pt_bagging,26.0,19.0,4.0,16.0,22.0,22.0,16.0,19.0,11.0,21.0,1.0
abalone-20_vs_8-9-10,s_smote,1.0,4.0,24.0,15.0,6.0,4.0,12.0,10.0,18.0,5.0,17.0
abalone-20_vs_8-9-10,scut,7.0,12.0,22.0,5.0,3.0,1.0,5.0,2.0,15.0,1.0,24.0
abalone-20_vs_8-9-10,shsampler,6.0,16.0,19.0,6.0,8.0,9.0,6.0,7.0,12.0,8.0,3.0
abalone-20_vs_8-9-10,smom,13.0,3.0,12.0,2.0,14.0,13.0,2.0,3.0,3.0,14.0,15.0
abalone-20_vs_8-9-10,soup,8.0,11.0,7.0,21.0,26.0,25.0,21.0,25.0,21.0,26.0,22.0
abalone-21_vs_8,DBCF,13.0,4.0,15.0,17.0,23.0,14.0,17.0,18.0,16.0,20.0,27.0
abalone-21_vs_8,DEAHS,11.0,18.0,26.0,25.0,6.0,12.0,25.0,25.0,25.0,6.0,29.0
abalone-21_vs_8,DeepSMOTE,7.0,5.0,12.0,20.0,27.0,27.0,20.0,20.0,18.0,29.0,14.0
abalone-21_vs_8,SPE,18.0,23.0,25.0,26.0,11.0,22.0,27.0,27.0,27.0,11.0,25.0
abalone-21_vs_8,adaboost_ad,27.0,29.0,28.0,28.0,12.0,28.0,28.0,28.0,28.0,17.0,6.0
abalone-21_vs_8,amcs,29.0,26.0,21.0,21.0,28.0,19.0,21.0,23.0,22.0,25.0,22.0
abalone-21_vs_8,des_mi,20.0,22.0,12.0,12.0,22.0,18.0,12.0,12.0,10.0,19.0,5.0
abalone-21_vs_8,dpse,23.0,25.0,17.0,22.0,29.0,21.0,22.0,22.0,21.0,28.0,1.0
abalone-21_vs_8,drcw_aseg,25.0,13.0,1.0,1.0,9.0,5.0,1.0,1.0,2.0,7.0,3.0
abalone-21_vs_8,e_evrs,16.0,28.0,23.0,24.0,21.0,20.0,24.0,24.0,24.0,18.0,17.0
abalone-21_vs_8,easy_bpnn,4.0,1.0,27.0,27.0,3.0,6.0,26.0,26.0,26.0,3.0,13.0
abalone-21_vs_8,evinci,22.0,11.0,2.0,5.0,16.0,16.0,5.0,5.0,4.0,15.0,23.0
abalone-21_vs_8,glos,14.0,12.0,18.0,7.0,2.0,2.0,7.0,8.0,17.0,2.0,10.0
abalone-21_vs_8,mc_ccr,8.0,7.0,9.5,10.5,14.5,10.5,10.5,9.5,8.5,13.5,7.0
abalone-21_vs_8,mc_evhs,17.0,24.0,24.0,23.0,7.0,13.0,23.0,21.0,23.0,10.0,11.0
abalone-21_vs_8,mc_nro,10.0,3.0,4.0,2.0,10.0,7.0,2.0,3.0,6.0,9.0,20.0
abalone-21_vs_8,mc_rbo,3.0,8.0,9.5,10.5,14.5,10.5,10.5,9.5,8.5,13.5,26.0
abalone-21_vs_8,mdo,9.0,2.0,6.0,6.0,13.0,9.0,6.0,6.0,3.0,12.0,12.0
abalone-21_vs_8,multirandbal,19.0,17.0,16.0,3.0,1.0,1.0,3.0,2.0,12.0,1.0,8.0
abalone-21_vs_8,nromm,12.0,19.0,7.5,15.0,26.0,26.0,15.0,16.0,7.0,27.0,16.0
abalone-21_vs_8,ocsv_us,28.0,27.0,29.0,29.0,18.0,29.0,29.0,29.0,29.0,24.0,21.0
abalone-21_vs_8,orem_m,24.0,21.0,14.0,19.0,25.0,25.0,19.0,19.0,15.0,26.0,9.0
abalone-21_vs_8,oremboost,21.0,6.0,7.5,18.0,24.0,17.0,18.0,17.0,11.0,23.0,24.0
abalone-21_vs_8,pt_bagging,26.0,14.0,5.0,8.0,19.0,23.0,9.0,11.0,5.0,21.0,2.0
abalone-21_vs_8,s_smote,1.0,15.0,22.0,16.0,8.0,8.0,16.0,15.0,20.0,8.0,19.0
abalone-21_vs_8,scut,2.0,20.0,20.0,13.0,4.0,4.0,13.0,13.0,19.0,5.0,28.0
abalone-21_vs_8,shsampler,5.0,9.0,19.0,9.0,5.0,3.0,8.0,7.0,14.0,4.0,4.0
abalone-21_vs_8,smom,6.0,16.0,12.0,14.0,20.0,24.0,14.0,14.0,13.0,22.0,15.0
abalone-21_vs_8,soup,15.0,10.0,3.0,4.0,17.0,15.0,4.0,4.0,1.0,16.0,18.0
abalone-3_vs_11,DBCF,12.5,12.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,24.0
abalone-3_vs_11,DEAHS,12.5,12.5,27.0,27.0,27.0,27.0,27.0,28.0,28.0,27.0,29.0
abalone-3_vs_11,DeepSMOTE,12.5,12.5,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,14.0
abalone-3_vs_11,SPE,12.5,12.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,25.0
abalone-3_vs_11,adaboost_ad,26.5,26.5,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,5.0
abalone-3_vs_11,amcs,12.5,12.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,21.0
abalone-3_vs_11,des_mi,12.5,12.5,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,6.0
abalone-3_vs_11,dpse,12.5,12.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0
abalone-3_vs_11,drcw_aseg,12.5,12.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0
abalone-3_vs_11,e_evrs,26.5,26.5,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0
abalone-3_vs_11,easy_bpnn,12.5,12.5,29.0,29.0,28.0,29.0,29.0,29.0,29.0,29.0,13.0
abalone-3_vs_11,evinci,12.5,12.5,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,23.0
abalone-3_vs_11,glos,12.5,12.5,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,9.0
abalone-3_vs_11,mc_ccr,12.5,12.5,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,8.0
abalone-3_vs_11,mc_evhs,26.5,26.5,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,11.0
abalone-3_vs_11,mc_nro,26.5,26.5,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
abalone-3_vs_11,mc_rbo,12.5,12.5,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,28.0
abalone-3_vs_11,mdo,12.5,12.5,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,12.0
abalone-3_vs_11,multirandbal,12.5,12.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
abalone-3_vs_11,nromm,12.5,12.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,16.0
abalone-3_vs_11,ocsv_us,29.0,29.0,28.0,28.0,29.0,28.0,28.0,27.0,26.0,28.0,22.0
abalone-3_vs_11,orem_m,12.5,12.5,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,10.0
abalone-3_vs_11,oremboost,12.5,12.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,26.0
abalone-3_vs_11,pt_bagging,12.5,12.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0
abalone-3_vs_11,s_smote,12.5,12.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,20.0
abalone-3_vs_11,scut,12.5,12.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,27.0
abalone-3_vs_11,shsampler,12.5,12.5,26.0,26.0,26.0,26.0,26.0,26.0,27.0,26.0,4.0
abalone-3_vs_11,smom,12.5,12.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,15.0
abalone-3_vs_11,soup,12.5,12.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,17.0
abalone19,DBCF,7.0,18.0,10.0,20.0,26.0,11.0,26.0,26.0,25.0,26.0,23.0
abalone19,DEAHS,3.0,10.0,25.0,25.0,2.0,20.0,11.0,1.0,10.0,2.0,27.0
abalone19,DeepSMOTE,22.0,26.0,8.0,18.0,24.0,9.0,24.0,24.0,23.0,24.0,19.0
abalone19,SPE,4.0,14.0,26.0,26.0,1.0,8.0,13.0,2.0,11.0,1.0,20.0
abalone19,adaboost_ad,28.0,29.0,29.0,29.0,9.0,28.0,17.0,16.0,29.0,10.0,12.0
abalone19,amcs,10.0,3.0,18.0,1.0,10.0,15.0,1.0,4.0,3.0,8.0,25.0
abalone19,des_mi,17.0,24.0,20.0,10.0,12.0,22.0,10.0,14.0,13.0,12.0,10.0
abalone19,dpse,29.0,25.0,11.0,8.0,17.0,12.0,9.0,15.0,7.0,16.0,8.0
abalone19,drcw_aseg,23.0,15.0,5.0,16.0,22.0,5.0,22.0,22.0,21.0,22.0,6.0
abalone19,e_evrs,27.0,28.0,21.0,11.0,11.0,25.0,15.0,17.0,16.0,14.0,18.0
abalone19,easy_bpnn,6.0,13.0,27.0,27.0,3.0,27.0,14.0,5.0,14.0,3.0,13.0
abalone19,evinci,9.0,19.0,3.0,13.5,19.5,2.5,19.5,19.5,18.5,19.5,22.0
abalone19,glos,26.0,27.0,14.0,21.0,27.0,16.0,27.0,27.0,26.0,27.0,1.0
abalone19,mc_ccr,18.0,16.0,6.0,17.0,23.0,7.0,23.0,23.0,22.0,23.0,3.0
abalone19,mc_evhs,1.0,9.0,23.0,9.0,6.0,26.0,8.0,6.0,9.0,6.0,9.0
abalone19,mc_nro,16.0,23.0,15.0,22.0,28.0,18.0,28.0,28.0,27.0,28.0,29.0
abalone19,mc_rbo,20.0,1.0,3.0,15.0,21.0,4.0,21.0,21.0,20.0,21.0,28.0
abalone19,mdo,11.0,22.0,16.0,23.0,29.0,19.0,29.0,29.0,28.0,29.0,7.0
abalone19,multirandbal,5.0,2.0,19.0,6.0,8.0,21.0,4.0,8.0,6.0,9.0,11.0
abalone19,nromm,19.0,20.0,9.0,19.0,25.0,10.0,25.0,25.0,24.0,25.0,16.0
abalone19,ocsv_us,15.0,7.0,28.0,28.0,5.0,29.0,16.0,13.0,15.0,5.0,14.0
abalone19,orem_m,25.0,8.0,7.0,2.0,15.0,6.0,2.0,9.0,1.0,15.0,4.0
abalone19,oremboost,8.0,4.0,12.0,5.0,16.0,14.0,5.0,10.0,2.0,17.0,21.0
abalone19,pt_bagging,24.0,17.0,1.0,12.0,18.0,1.0,18.0,18.0,17.0,18.0,5.0
abalone19,s_smote,2.0,11.0,24.0,24.0,4.0,23.0,12.0,3.0,12.0,4.0,17.0
abalone19,scut,12.0,5.0,22.0,7.0,7.0,24.0,7.0,7.0,8.0,7.0,24.0
abalone19,shsampler,14.0,12.0,17.0,3.0,13.0,17.0,3.0,11.0,4.0,11.0,2.0
abalone19,smom,13.0,6.0,13.0,4.0,14.0,13.0,6.0,12.0,5.0,13.0,15.0
abalone19,soup,21.0,21.0,3.0,13.5,19.5,2.5,19.5,19.5,18.5,19.5,26.0
abalone9-18,DBCF,4.0,14.0,16.0,13.0,10.0,22.0,14.0,16.0,15.0,13.0,28.0
abalone9-18,DEAHS,20.0,18.0,26.0,27.0,3.0,14.0,27.0,25.0,27.0,4.0,29.0
abalone9-18,DeepSMOTE,12.0,20.0,8.0,24.0,29.0,26.0,25.0,28.0,14.0,28.0,16.0
abalone9-18,SPE,13.0,5.0,28.0,28.0,2.0,2.0,28.0,26.0,28.0,2.0,25.0
abalone9-18,adaboost_ad,25.0,28.0,25.0,26.0,5.0,16.0,26.0,27.0,26.0,7.0,10.0
abalone9-18,amcs,28.0,26.0,15.0,22.0,26.0,24.0,22.0,24.0,22.0,23.0,24.0
abalone9-18,des_mi,24.0,25.0,19.0,19.0,14.0,27.0,19.0,19.0,20.0,20.0,8.0
abalone9-18,dpse,27.0,22.0,17.0,17.0,15.0,13.0,18.0,17.0,18.0,14.0,1.0
abalone9-18,drcw_aseg,23.0,8.0,4.0,9.0,22.0,19.0,9.0,5.0,4.0,22.0,3.0
abalone9-18,e_evrs,26.0,27.0,21.0,20.0,21.0,28.0,20.0,23.0,19.0,21.0,17.0
abalone9-18,easy_bpnn,2.0,1.0,24.0,23.0,1.0,5.0,23.0,20.0,25.0,1.0,15.0
abalone9-18,evinci,15.0,4.0,1.0,1.0,18.0,10.0,1.0,1.0,2.0,16.0,23.0
abalone9-18,glos,16.0,16.0,11.0,4.0,16.0,11.0,4.0,6.0,8.0,15.0,6.0
abalone9-18,mc_ccr,18.0,21.0,9.0,21.0,28.0,25.0,21.0,21.0,11.0,27.0,7.0
abalone9-18,mc_evhs,14.0,23.0,22.0,15.0,7.0,4.0,15.0,14.0,23.0,6.0,11.0
abalone9-18,mc_nro,7.0,3.0,5.0,2.0,13.0,6.0,2.0,3.0,6.0,11.0,22.0
abalone9-18,mc_rbo,19.0,17.0,2.0,12.0,25.0,20.0,11.0,4.0,1.0,25.0,27.0
abalone9-18,mdo,10.0,2.0,6.0,3.0,11.0,8.0,3.0,2.0,5.0,10.0,12.0
abalone9-18,multirandbal,5.0,9.0,18.0,8.0,9.0,7.0,8.0,9.0,16.0,8.0,4.0
abalone9-18,nromm,1.0,13.0,12.0,16.0,23.0,23.0,17.0,18.0,12.0,24.0,13.0
abalone9-18,ocsv_us,29.0,29.0,29.0,29.0,24.0,29.0,29.0,29.0,29.0,29.0,21.0
abalone9-18,orem_m,6.0,15.0,10.0,7.0,20.0,17.0,7.0,11.0,9.0,19.0,9.0
abalone9-18,oremboost,8.0,11.0,7.0,6.0,19.0,15.0,6.0,7.0,7.0,18.0,19.0
abalone9-18,pt_bagging,22.0,10.0,3.0,14.0,27.0,21.0,13.0,8.0,3.0,26.0,2.0
abalone9-18,s_smote,11.0,19.0,27.0,25.0,4.0,3.0,24.0,22.0,24.0,3.0,20.0
abalone9-18,scut,21.0,24.0,23.0,18.0,8.0,9.0,16.0,15.0,21.0,9.0,26.0
abalone9-18,shsampler,3.0,7.0,20.0,10.0,6.0,1.0,10.0,12.0,17.0,5.0,5.0
abalone9-18,smom,9.0,6.0,13.0,5.0,12.0,12.0,5.0,10.0,10.0,12.0,14.0
abalone9-18,soup,17.0,12.0,14.0,11.0,17.0,18.0,12.0,13.0,13.0,17.0,18.0
autos,DEAHS,8.0,2.0,9.0,8.0,9.0,9.0,10.0,10.0,8.0,7.0,28.0
autos,DeepSMOTE,10.0,11.0,10.0,9.0,11.0,11.0,9.0,11.0,11.0,9.0,16.0
autos,SPE,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,26.0
autos,adaboost_ad,20.0,23.0,22.0,23.0,18.0,15.0,22.0,22.0,24.0,22.0,5.0
autos,amcs,21.0,15.0,19.0,20.0,23.0,18.0,19.0,19.0,19.0,21.0,12.0
autos,des_mi,18.0,21.0,21.0,18.0,19.0,21.0,21.0,21.0,20.0,17.0,9.0
autos,dpse,28.0,27.0,5.0,13.0,3.0,5.0,5.0,5.0,14.0,13.0,3.0
autos,drcw_aseg,13.0,14.0,3.5,3.0,5.0,6.0,4.0,4.0,3.0,4.0,14.0
autos,e_evrs,23.0,22.0,20.0,17.0,13.0,22.0,20.0,20.0,17.0,16.0,24.0
autos,easy_bpnn,24.0,25.0,26.0,26.0,25.0,26.0,26.0,26.0,26.0,26.0,25.0
autos,evinci,15.0,17.0,18.0,19.0,12.0,17.0,18.0,18.0,18.0,18.0,23.0
autos,glos,2.0,12.0,13.0,15.0,21.0,16.0,13.0,13.0,13.0,15.0,7.0
autos,mc_ccr,6.0,6.0,2.0,4.0,7.0,4.0,2.0,2.0,4.0,3.0,2.0
autos,mc_evhs,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,14.0,11.0
autos,mc_nro,25.0,24.0,24.0,25.0,27.0,25.0,25.0,25.0,25.0,25.0,18.0
autos,mc_rbo,1.0,1.0,8.0,5.0,4.0,3.0,8.0,8.0,5.0,8.0,21.0
autos,mdo,3.0,9.0,12.0,11.0,16.0,10.0,12.0,12.0,10.0,11.0,6.0
autos,multirandbal,9.0,3.0,3.5,2.0,2.0,2.0,3.0,3.0,2.0,2.0,10.0
autos,nromm,4.0,4.0,11.0,10.0,15.0,12.0,11.0,9.0,7.0,10.0,15.0
autos,ocsv_us,16.0,16.0,23.0,24.0,24.0,24.0,23.0,23.0,23.0,24.0,22.0
autos,orem_m,5.0,5.0,6.0,6.0,8.0,7.0,6.0,6.0,9.0,5.0,8.0
autos,oremboost,19.0,20.0,16.0,16.0,22.0,19.0,16.0,16.0,16.0,19.0,19.0
autos,pt_bagging,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
autos,s_smote,26.0,26.0,27.0,27.0,26.0,27.0,27.0,27.0,27.0,27.0,20.0
autos,scut,14.0,10.0,15.0,12.0,6.0,13.0,15.0,15.0,12.0,12.0,27.0
autos,shsampler,17.0,18.0,17.0,21.0,20.0,20.0,17.0,17.0,21.0,20.0,4.0
autos,smom,11.0,8.0,7.0,7.0,10.0,8.0,7.0,7.0,6.0,6.0,17.0
